Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,Sales ('000),COGS,Profit,Profit ('000),Date,Month,Quarter,Year,Customer_Name,Product_Name,Country
Government,CUST_ID_065,PROD_ID_006,Medium,"2,076.00",260,350,"7,26,600.00",43596,"6,83,004.00",683,"5,39,760.00","1,43,244.00",,21-08-2022,Aug,Q3,2021,Samuel Wilson,Amarilla,USA
Government,CUST_ID_059,PROD_ID_001,Medium,"1,757.00",5,20,"35,140.00",2108.4,"33,031.60",33.03,"17,570.00","15,461.60",,18-05-2022,May,Q2,2021,Aiden Martin,Montana,England
Government,CUST_ID_052,PROD_ID_002,Medium,"1,757.00",10,20,"35,140.00",2108.4,"33,031.60",33.03,"17,570.00","15,461.60",,29-08-2022,Aug,Q3,2021,Charlotte Martin,Paseo,France
Government,CUST_ID_066,PROD_ID_005,Medium,"1,834.00",3,20,"36,680.00",2567.6,"34,112.40",34.11,"18,340.00","15,772.40",,23-04-2022,Apr,Q2,2021,Harper Turner,Carretera,Canada
Government,CUST_ID_052,PROD_ID_002,Medium,"1,031.00",10,7,"7,217.00",505.19,"6,711.81",6.71,"5,155.00","1,556.81",,06-02-2022,Feb,Q1,2021,Charlotte Martin,Paseo,France
Channel Partners,CUST_ID_067,PROD_ID_004,Medium,"2,215.00",250,12,"26,580.00",1860.6,"24,719.40",24.72,"6,645.00","18,074.40",,02-01-2021,Jan,Q1,2021,Henry Phillips,VTT,England
Enterprise,CUST_ID_068,PROD_ID_001,Medium,"2,500.00",5,125,"3,12,500.00",21875,"2,90,625.00",290.63,"3,00,000.00","-9,375.00",,13-03-2021,Mar,Q1,2021,Amelia Martin,Montana,France
Midmarket,CUST_ID_026,PROD_ID_002,Medium,"2,931.00",10,15,"43,965.00",3077.55,"40,887.45",40.89,"29,310.00","11,577.45",,12-09-2021,Sep,Q3,2021,Avery Turner,Paseo,Canada
Small Business,CUST_ID_069,PROD_ID_002,Medium,"1,123.00",10,300,"3,36,900.00",23583,"3,13,317.00",313.32,"2,80,750.00","32,567.00",,16-06-2021,Jun,Q2,2021,Jackson Hill,Paseo,Germany
Small Business,CUST_ID_070,PROD_ID_002,Medium,"1,404.00",10,300,"4,21,200.00",29484,"3,91,716.00",391.72,"3,51,000.00","40,716.00",,19-05-2022,May,Q2,2021,Abigail Garcia,Paseo,Italy
Channel Partners,CUST_ID_071,PROD_ID_002,Medium,"2,763.00",10,12,"33,156.00",2320.92,"30,835.08",30.84,"8,289.00","22,546.08",,07-04-2021,Apr,Q2,2021,Aiden Perez,Paseo,India
Government,CUST_ID_072,PROD_ID_002,Medium,"2,125.00",10,7,"14,875.00",1041.25,"13,833.75",13.83,"10,625.00","3,208.75",,14-06-2022,Jun,Q2,2021,Emily Hill,Paseo,Japan
Government,CUST_ID_041,PROD_ID_003,Medium,"1,421.00",120,20,"28,420.00",1989.4,"26,430.60",26.43,"14,210.00","12,220.60",,11-02-2022,Feb,Q1,2021,Aiden Clark,Velo,USA
Government,CUST_ID_028,PROD_ID_003,Medium,588,120,20,"11,760.00",823.2,"10,936.80",10.94,"5,880.00","5,056.80",,05-05-2022,May,Q2,2021,Sofia Phillips,Velo,France
Enterprise,CUST_ID_073,PROD_ID_006,Medium,994,260,125,"1,24,250.00",8697.5,"1,15,552.50",115.55,"1,19,280.00","-3,727.50",,06-06-2022,Jun,Q2,2021,Benjamin Phillips,Amarilla,USA
Small Business,CUST_ID_074,PROD_ID_001,Medium,"1,283.00",5,300,"3,84,900.00",30792,"3,54,108.00",354.11,"3,20,750.00","33,358.00",,13-08-2021,Aug,Q3,2021,Mia Turner,Montana,Canada
Government,CUST_ID_072,PROD_ID_002,Medium,"2,409.00",10,7,"16,863.00",1349.04,"15,513.96",15.51,"12,045.00","3,468.96",,14-11-2022,Nov,Q4,2021,Emily Hill,Paseo,Japan
Government,CUST_ID_072,PROD_ID_002,Medium,"2,146.00",10,350,"7,51,100.00",60088,"6,91,012.00",691.01,"5,57,960.00","1,33,052.00",,21-10-2021,Oct,Q4,2021,Emily Hill,Paseo,Japan
Government,CUST_ID_040,PROD_ID_002,Medium,"1,946.00",10,7,"13,622.00",1089.76,"12,532.24",12.53,"9,730.00","2,802.24",,16-02-2021,Feb,Q1,2021,Abigail Lewis,Paseo,Japan
Small Business,CUST_ID_061,PROD_ID_003,Medium,386,120,300,"1,15,800.00",9264,"1,06,536.00",106.54,"96,500.00","10,036.00",,12-11-2022,Nov,Q4,2021,Benjamin Martin,Velo,Germany
Small Business,CUST_ID_075,PROD_ID_004,Medium,808,250,300,"2,42,400.00",19392,"2,23,008.00",223.01,"2,02,000.00","21,008.00",,30-06-2022,Jun,Q2,2021,Logan Martin,VTT,England
Channel Partners,CUST_ID_076,PROD_ID_006,Medium,"1,375.00",260,12,"16,500.00",1320,"15,180.00",15.18,"4,125.00","11,055.00",,07-10-2022,Oct,Q4,2021,Charlotte Garcia,Amarilla,France
Channel Partners,CUST_ID_077,PROD_ID_005,Medium,367,3,12,"4,404.00",396.36,"4,007.64",4.01,"1,101.00","2,906.64",,17-02-2022,Feb,Q1,2021,Samuel Phillips,Carretera,Germany
Small Business,CUST_ID_078,PROD_ID_001,Medium,322,5,300,"96,600.00",8694,"87,906.00",87.91,"80,500.00","7,406.00",,14-06-2021,Jun,Q2,2021,Harper Hill,Montana,Italy
Enterprise,CUST_ID_079,PROD_ID_001,Medium,"1,857.00",5,125,"2,32,125.00",20891.25,"2,11,233.75",211.23,"2,22,840.00","-11,606.25",,29-04-2022,Apr,Q2,2021,Henry Turner,Montana,India
Government,CUST_ID_043,PROD_ID_001,Medium,"1,611.00",5,7,"11,277.00",1014.93,"10,262.07",10.26,"8,055.00","2,207.07",,30-11-2022,Nov,Q4,2021,Sebastian Phillips,Montana,England
Small Business,CUST_ID_080,PROD_ID_001,Medium,334,5,300,"1,00,200.00",9018,"91,182.00",91.18,"83,500.00","7,682.00",,19-03-2022,Mar,Q1,2021,Amelia Martin,Montana,Japan
Channel Partners,CUST_ID_071,PROD_ID_002,Medium,367,10,12,"4,404.00",396.36,"4,007.64",4.01,"1,101.00","2,906.64",,25-06-2022,Jun,Q2,2021,Aiden Perez,Paseo,India
Channel Partners,CUST_ID_014,PROD_ID_002,Medium,"1,775.00",10,12,"21,300.00",1917,"19,383.00",19.38,"5,325.00","14,058.00",,09-03-2022,Mar,Q1,2021,Charlotte White,Paseo,Italy
Channel Partners,CUST_ID_081,PROD_ID_004,Medium,"2,234.00",250,12,"26,808.00",2412.72,"24,395.28",24.4,"6,702.00","17,693.28",,11-07-2021,Jul,Q3,2021,Jackson Lewis,VTT,USA
Midmarket,CUST_ID_082,PROD_ID_006,Medium,970,260,15,"14,550.00",1309.5,"13,240.50",13.24,"9,700.00","3,540.50",,16-08-2022,Aug,Q3,2021,Abigail Clark,Amarilla,Canada
Government,CUST_ID_008,PROD_ID_004,Medium,"2,682.00",250,20,"53,640.00",4827.6,"48,812.40",48.81,"26,820.00","21,992.40",,20-01-2022,Jan,Q1,2021,Isabella Wilson,VTT,Japan
Channel Partners,CUST_ID_083,PROD_ID_006,Medium,306,260,12,"3,672.00",330.48,"3,341.52",3.34,918,"2,423.52",,12-11-2021,Nov,Q4,2021,Aiden Anderson,Amarilla,England
Channel Partners,CUST_ID_084,PROD_ID_005,High,386,3,12,"4,632.00",463.2,"4,168.80",4.17,"1,158.00","3,010.80",,21-08-2022,Aug,Q3,2021,Emily Martin,Carretera,France
Channel Partners,CUST_ID_005,PROD_ID_002,High,386,10,12,"4,632.00",463.2,"4,168.80",4.17,"1,158.00","3,010.80",,13-01-2022,Jan,Q1,2021,Liam Jones,Paseo,Germany
Enterprise,CUST_ID_085,PROD_ID_005,High,"1,482.00",3,125,"1,85,250.00",18525,"1,66,725.00",166.73,"1,77,840.00","-11,115.00",,28-04-2022,Apr,Q2,2021,Benjamin Garcia,Carretera,Germany
Enterprise,CUST_ID_013,PROD_ID_001,High,"1,804.00",5,125,"2,25,500.00",22550,"2,02,950.00",202.95,"2,16,480.00","-13,530.00",,21-04-2022,Apr,Q2,2021,Logan Jackson,Montana,Germany
Midmarket,CUST_ID_002,PROD_ID_002,High,"2,167.00",10,15,"32,505.00",3250.5,"29,254.50",29.25,"21,670.00","7,584.50",,25-09-2021,Sep,Q3,2021,Emma Johnson,Paseo,Canada
Small Business,CUST_ID_086,PROD_ID_003,High,"2,294.00",120,300,"6,88,200.00",68820,"6,19,380.00",619.38,"5,73,500.00","45,880.00",,11-04-2022,Apr,Q2,2021,Mia Hill,Velo,Italy
Enterprise,CUST_ID_007,PROD_ID_003,High,"1,916.00",120,125,"2,39,500.00",23950,"2,15,550.00",215.55,"2,29,920.00","-14,370.00",,08-02-2021,Feb,Q1,2021,Ethan Miller,Velo,India
Small Business,CUST_ID_075,PROD_ID_004,High,"2,294.00",250,300,"6,88,200.00",68820,"6,19,380.00",619.38,"5,73,500.00","45,880.00",,18-06-2022,Jun,Q2,2021,Logan Martin,VTT,England
Midmarket,CUST_ID_087,PROD_ID_004,High,"2,167.00",250,15,"32,505.00",3250.5,"29,254.50",29.25,"21,670.00","7,584.50",,11-08-2022,Aug,Q3,2021,Logan Phillips,VTT,India
Government,CUST_ID_056,PROD_ID_004,High,"1,870.00",250,350,"6,54,500.00",65450,"5,89,050.00",589.05,"4,86,200.00","1,02,850.00",,23-07-2022,Jul,Q3,2021,Amelia Perez,VTT,Japan
Channel Partners,CUST_ID_088,PROD_ID_005,High,"1,198.00",3,12,"14,376.00",1581.36,"12,794.64",12.79,"3,594.00","9,200.64",,21-04-2022,Apr,Q2,2021,Charlotte Hill,Carretera,Japan
Channel Partners,CUST_ID_025,PROD_ID_002,High,"1,198.00",10,12,"14,376.00",1581.36,"12,794.64",12.79,"3,594.00","9,200.64",,26-04-2022,Apr,Q2,2021,Alexander Perez,Paseo,USA
Channel Partners,CUST_ID_089,PROD_ID_004,High,"1,005.00",250,12,"12,060.00",1326.6,"10,733.40",10.73,"3,015.00","7,718.40",,22-06-2021,Jun,Q2,2021,Samuel Turner,VTT,USA
